categorie;nom_recette;ingredients;preparation;nb_etape
dessert;Le crumble aux pommes du Chat qui Tousse;['6 pomme (des Canada par exemple) ', '150 g de cassonade  ', '150 g de farine de blé  ', '125 g de beurre doux (le sortir 1/2 heure avant de commencer la recette) ', '1 petite cuillère de cannelle en poudre ', '1 sachet de sucre vanillé  ', 'Citron  ']; Préchauffer le four à 210°C (thermostat 7). Peler, évider et découper les pommes en cubes grossiers, les répartir dans un plat allant au four. Les arroser de jus du citron et les saupoudrer de cannelle et de sucre vanillé. Dans un saladier, mélanger la farine et la cassonade. Puis ajouter le beurre en petits cubes et mélanger à la main de façon à former une pâte grumeleuse. Émietter cette pâte au dessus des pommes de façon à les recouvrir.  Enfourner pour 30 minutes de cuisson.  Servir tiède avec de la crème fouettée ou de la glace à la vanille.;7
dessert;Tarte aux pommes;['1 pâte brisée  ', '6 pomme Golden ', '1 sachet de sucre vanillé  ', '30 g de beurre  ']; Éplucher et découper en morceaux 4 Golden.  Faire une compote : les mettre dans une casserole avec un peu d'eau (1 verre ou 2). Bien remuer. Quand les pommes commencent à ramollir, ajouter un sachet ou un sachet et demi de sucre vanillé. Ajouter un peu d'eau si nécessaire. Vous saurez si la compote est prête une fois que les pommes ne seront plus dures du tout. Ce n'est pas grave s'il reste quelques morceaux. Pendant que la compote cuit, éplucher et couper en quatre les deux dernières pommes, puis, couper les quartiers en fines lamelles (elles serviront à être posées sur la compote). Préchauffer le four à 210°C (thermostat 7). Laisser un peu refroidir la compote et étaler la pâte brisée dans un moule et la piquer avec une fourchette.  Verser la compote sur la pâte et placer les lamelles de pommes en formant une spirale ou plusieurs cercles, au choix ! Disposer des lamelles de beurre dessus. Mettre au four et laisser cuire pendant 30 min max. Surveiller la cuisson. Vous pouvez ajouter un peu de sucre vanillé sur la tarte pendant que çà cuit pour caraméliser un peu.;8
dessert;Galette des rois à la frangipane;"['2 pâte feuilletée  ', ""140 g de poudre d'amande  "", '100 g de sucre fin  ', '2 oeuf  ', '75 g de beurre mou ', ""1 jaune d'oeuf  "", '1 fève  ']";" Placer une pâte feuilletée dans un moule à tarte, piquer la pâte avec une fourchette.  Dans un saladier, mélanger la poudre d'amandes, le sucre, les 2 oeufs et le beurre mou. Placer la pâte obtenue dans le moule à tarte et y cacher la fève. Recouvrir avec la 2ème pâte feuilletée, en collant bien les bords.  Faire des dessins sur le couvercle et badigeonner avec le jaune d'oeuf.  Enfourner pendant 20 à 30 min à 200°C (thermostat 6-7); vérifier régulièrement la cuisson !";6
dessert;Véritable moelleux au chocolat;['125 g de farine  ', '125 g de beurre doux  ', '250 g de sucre semoule  ', '200 g de chocolat noir  ', '4 oeuf  ', '1/2 sachet de levure  ']; Préchauffer le four à 180°C (thermostat 6).Faire fondre le chocolat dans une casserole. Hors du feu, ajouter le beurre,  la farine et la levure. Fouetter les jaunes d’oeuf avec le sucre  et un peu d'eau pour faire mousser puis l'ajouter à la préparation chocolatée. Battre les blancs en neige et les incorporer dans la casserole tout doucement. Verser le tout dans un moule beurré à bords hauts et enfourner pendant environ 35 minutes. On peut ajouter du sucre glace ou du chocolat fondu, pour décorer le dessus du gâteau. Déguster;11
dessert;Pain perdu;['25 cl de lait  ', '3 oeuf  ', '75 g de sucre de canne  ', '6 tranche épaisse de pain paysan ']; Fouetter les oeufs avec le sucre et le lait. Y tremper les tranches de pain. Deux solutions pour la cuisson : les cuire à la poêle dans du beurre en les faisant dorer de chaque côté, ou, les cuire au four : beurrer légèrement un plat à  gratin, y répartir les tranches, verser le reste du mélange (ajouter du sucre si envie), laisser cuire à 180°C (thermostat 6) jusqu'à que les tranches soient dorées.;3
dessert;Tartelette express kiwi chocolat;['60 g de spéculoos  ', '60 g de beurre  ', '4 kiwi  ', '150 g de chocolat  ', '15 cl de crème liquide  ']; Préparation de la base biscuitée.Emietter les speculoos et les mélanger avec le beurre mou coupé en dés.  Tasser la préparation dans des moules à tartelettes ou des emportes-pièces.  Réserver au moins 30 minutes au réfrigérateur. Préparation de la garniture : Mettre la crème liquide à bouillir dans une casserole. Casser le chocolat en morceaux dans un saladier et verser la crème bouillante dessus pour le faire fondre. Mélanger jusqu'à ce que le chocolat est complètement fondu.  Verser la sauce chocolat sur les fonds de tartelettes.  Réserver 30 minutes au réfrigérateur. Peler les kiwis et les couper en fines rondelles. Déposer les tranches de kiwis sur les tartelettes avant de servir.;7
dessert;Meringue pour les nuls;"[""4 blanc d'oeuf  "", '250 g de sucre semoule  ']"; Quelques trucs pour bien réussir ces meringues : sortir les oeufs du réfrigérateur un quart d'heure avant de les utiliser. Ne surtout pas mélanger de jaunes aux blancs d'oeuf. Ajouter une pincée de sel avant de battre les blancs en neige. Utiliser un récipient plus haut que large et utiliser un batteur électrique (bien plus rapide et moins fatiguant)! On peut commencer : Battre les blancs d'oeuf en neige ferme. Ajouter le sucre par petites quantités tout en continuant de battre. Préchauffer le four à 120°C (thermostat 4). Déposer immédiatement de petits tas de meringue sur une plaque de four préalablement recouverte de papier sulfurisé. Cuire entre 30 minutes et 1 heure à 120°C. Au bout de 30 minutes, on obtient des meringues blanches et moelleuses. Au bout d'1 heure, on obtient des meringues rosées, craquantes et fondantes avec un coeur moelleux. Une fois cuites, décoller les meringues délicatement dès la sortie du four et laisser refroidir sur une grille. ;12
dessert;Crème Chantilly;"[""50 cl de crème fraîche liquide (attention, PAS de crème allégée !!! c'est la matière grasse qui fait que la chantilly prend) "", '35 g de sucre glace  ']"; Ne sortir la crème fraîche qu'au moment de faire la Chantilly.Verser la crème dans un saladier. Ajouter le sucre glace. Battre la crème à l'aide d'un fouet électrique. Changer de vitesse (du plus lent au plus rapide) progressivement, toutes les 30 secondes environ. Laisser reposer au réfrigérateur 2 heures au minimum. Ne sortir qu'au moment de servir. Servir de préférence à l'aide d'une poche à douille (qui permet de donner une jolie apparence 'striée' à la crème).;4
dessert;Gâteau d'anniversaire;"['300 g de farine  ', '300 g de sucre  ', '4 oeuf (blancs en neige) ', '1 paquet de sucre vanillé  ', '1 paquet de levure chimique  ', '1 verre de lait  ', ""1 verre d'huile  ""]"; Mélanger les jaunes d'oeuf et le sucre  pour obtenir un mélange blanc. Ajouter peu à peu le verre de lait, le verre d'huile, la levure, puis la farine. Monter les blancs en neige très ferme, puis les incorporer délicatement. Beurrer et fariner légèrement un grand moule manqué, puis cuire 60 min à thermostat 3 ou 4 (120°C), en enfournant à four froid. Décorer selon vos désirs : par exemple une crème au chocolat blanc en mélangeant du chocolat blanc à du fromage frais puis décorer avec des décors en sucre ou des paillettes colorées.;7
dessert;Gâteau aux pommes facile;"['120 g de sucre semoule  ', '1 paquet de sucre vanillé  ', '3 oeuf  ', '1/2 paquet de levure chimique  ', '125 g de farine  ', ""1/2 verre d'huile de colza  "", '3 pomme  ']"; Préchauffer le four à 160°C (thermostat 5-6).Mélanger tous les ingrédients de la pâte. Ajouter les pommes préalablement coupées en cube. Mélanger à nouveau à la spatule. Verser la pâte à gâteau dans un moule beurré et cuire pendant 40 à 50 minutes. Déguster !;5
dessert;Cheese cake (gâteau au fromage blanc) inratable ;"['250 g de biscuit (petits bruns) émiettés ', '125 g de beurre doux fondu ', '1/2 cuillère à café de muscade râpée (si on aime) ', '500 g de fromage blanc (type faisselle) ', '150 g de sucre semoule  ', '2 cuillère à soupe de farine  ', '3 oeuf  ', '25 cl de crème fraîche  ', ""cuillère à café d'extrait de vanille ou d'orange ou zeste de citron ...) ""]";" Préchauffez le four à 180°C (thermostat 6).Tapissez de papier sulfurisé et préalablement beurré un moule de 23 cm de diamètre. Idéalement, le fond du moule doit être amovible, sinon, laissez bien dépasser le papier pour démouler facilement le gâteau en tirant dessus.Mélangez les biscuits, la muscade et le beurre fondu. Tapissez le fond du moule de ce mélange en tassant bien avec le dos d'une cuillère. Placez au réfrigérateur.  Battez la faisselle au fouet jusqu'à ce qu'elle soit lisse, puis ajoutez le sucre et la farine et les oeufs un par un. Ajoutez ensuite la crème et le parfum de votre choix. Versez cette préparation sur la croûte biscuitée (si la croûte ""dépasse"" de la crème, enlevez le surplus à la cuillère, cela risque de brûler).  Enfournez pour 50-55 minutes de cuisson jusqu'à ce que la préparation au fromage soit ferme au toucher. Laissez refroidir, démoulez et servez frais.";6
dessert;Flan pâtissier traditionnel;['1 pâte brisée  ', '4 oeuf  ', '1 l de lait  ', '150 g de sucre poudre ', '90 g de maïzena  ', '1 gousse de vanille  ']; Faire bouillir le lait avec la gousse de vanille fendue (dans le sens de la longueur). Pendant ce temps, mélanger la Maïzena (tamisée, c'est mieux) avec le sucre. et ajouter les oeufs bien battus. Mélanger le tout (bien homogène)  et ajouter le lait bouillant (sans la gousse). Cuire la préparation à feu doux sans cesser de remuer pendant environ 1 à 2 min Préchauffer le four à 200°C (thermostat 6-7). Foncer un plat rectangulaire ou rond préalablement beurré avec la pâte brisée. Piquer le fond. Y verser la préparation. Lisser la surface. Cuire pendant environ 30 à 40 min. Laisser refroidir. Déguster.;13
dessert;Cupcakes natures;['125 g de farine  ', '125 g de beurre  ', '125 g de sucre  ', '2 oeuf  ', '80 g de beurre fondu ', '80 g de sucre glace  ']; Préparer les gâteaux : mélanger le beurre ramolli et le sucre. Battre les œufs en omelette. En mettre la moitié dans le mélange, remuer, puis mettre le reste et remuer à nouveau. Mettre la moitié de la farine dans le mélange et remuer, puis verser le reste petit à petit en remuant. Verser dans les petits compartiment en papier (qui se trouve en grande surface). Cuire 15 min minimum au four préchauffé à thermostat 5/6, selon votre four (150 à 180°C). Surveiller la cuisson. Préparer le glaçage : mélanger tous les ingrédients jusqu'à obtenir un joli glaçage épais. Sut les petits gâteaux cuits et refroidis, ajouter le glaçage avec une poche à douille (ou un sac congélation dont vous aurez coupé un coin) et décorer de petits bonbons ou de petits grains de sucre coloré. Placer au frais pendant 1 heure minimum.Ils se conservent très bien.;8
dessert;Clafoutis grand-mère aux cerises;['600 g de cerise  ', '40 g de beurre semi-sel + 20 g pour le moule ', '4 oeuf  ', '20 cl de lait  ', '100 g de farine  ', '60 g de sucre en poudre  ', '1 sachet de sucre vanillé  ', '1 pincée de sel  ', 'Sucre glace  ']; Préchauffez le four à 210°C (thermostat 7).Lavez rapidement les cerises sous un filet d'eau fraîche, équeutez-les et égouttez-les. Personnellement j'enlève les noyaux, mais la recette traditionnelle veut qu'on les laisse, donc c'est à vous de voir si vous les laissez ou pas...Faites fondre les 40 g de beurre dans une petite casserole à fond épais. Mélangez dans un grand bol la farine, le sucre, le sel et le sucre vanillé. Incorporez les oeufs peu à peu puis le lait petit à petit en continuant de mélanger. Ajoutez le beurre fondu. Beurrez grassement le plat, rangez les cerises puis versez la pâte à clafoutis. Mettez au four pendant 10 mn à 210°C puis baissez à 180°C et cuisez encore 20 mn. Servez le clafoutis froid ou tiède, saupoudré de sucre glace.;3
dessert;Riz au lait de ma maman;['1 l de lait  ', '100 g de riz blanc rond ', '5 cuillère à soupe de sucre  ', '1 sachet de sucre vanillé  ', '1 zeste de citron  ', 'Orange ou de clémentine '];" Faire bouillir le lait avec le sucre, le sucre vanillé et le zeste de votre choix (attention faire un ruban assez long pour le retirer facilement en fin de cuisson). Lorsque le lait bout, jeter le riz en pluie et baisser le feu pour que l'ébullition soit très lente, le riz doit cuire très lentement.  Lorque le riz affleure le lait, couper le feu et laisser refroidir ; le riz va finir de s'imbiber de lait en refroidissant.  On peut servir ce dessert tiède ou froid dans des ramequins avec un zeste de citron vert pour décorer le dessus.";4
dessert;Clafoutis aux cerises express;"['700 g de cerise bien mûres ', ""2 oeuf + 2 jaunes d'oeufs "", '5 cuillère de farine (100 g) ', '5 cuillère de sucre roux (100 g) ', '1/4 l de lait (25 cl) ', '60 g de beurre  ', '1 pincée de sel  ', ""1 cuillère à café d'extrait de vanille  "", '1 sachet de sucre vanillé (facultatif) ']"; Lavez et équeutez les cerises.  Allumez votre four à thermostat 6/7 (180/200°C). Dans un plat à tarte, mettez le beurre puis enfournez-le. Battez les oeufs en omelette, ajoutez la pincée de sel ainsi que le sucre. Mélangez bien (au fouet ou au robot). Ajoutez l'extrait de vanille, mélangez et jetez la farine en pluie. Mélangez bien jusqu'à obtenir un liquide épais et onctueux.  Sortez le beure fondu du four, ajoutez-le au liquide puis ajoutez le lait tout en remuant. Une fois mélangé, ajoutez les cerises à la préparation.  Avec un essuie-tout, étalez le beurre resté dans le plat pour le graisser, puis ajoutez la préparation. Ajoutez quelques noisettes de beurre par dessus.  Enfournez 45 mn (jusqu'à ce que le dessus commence à bien dorer). Dès la sortie du four, saupoudrez de sucre vanillé.  Servez tiède.;7
dessert;Tarte tatin;['8 pomme golden bien jaunes ', '1 pâte feuilletée (toute prête ou faite maison) ', '2 sachet de sucre vanillé  ', 'Cannelle  ', '100 g de beurre  ', '100 g de sucre en poudre  ']; Préchauffer le four à 180°C (thermostat 6).Dans un moule à tarte rond antiadhésif, faire fondre le beurre directement sur le feu. Y ajouter le sucre fin et baisser le feu pour faire un caramel. Eplucher les 8 pommes golden entières. Les couper en deux et enlever le coeur sans défaire les moitiés. Disposer les pommes reconstituées en couronne dans le plat, en mettre une ou deux au milieu.Aplatir avec une spatule de temps en temps, les pommes doivent pocher dans le caramel, qui ne doit pas devenir noir, mais tout juste doré. Saupoudrer les pommes de sucre vanillé et de cannelle. Sortir le tout du feu et recouvrir de pâte feuilletée en appuyant bien sur les bords. Mettre au four moyen pendant 35 à 40 minutes. Déguster tiède.;9
dessert;Mug cake fondant au chocolat;['40 g de chocolat noir  ', '40 g de beurre  ', '30 g de sucre  ', '20 g de farine  ', '1 oeuf  ']; Dans un mug, mettre les carrés de chocolat avec le beurre découpé en parcelles. Faire fondre 40 secondes au micro-ondes.  Mélanger à l'aide d'une cuillère et y ajouter le sucre puis l’œuf.  L'aspect un peu gélatineux qui peut y avoir est normal suite au blanc de l’œuf. Incorporer ensuite la farine, tout en mélangeant bien. Cuire de nouveau 40 secondes au micro-ondes, attendre un peu et déguster sans risques de se brûler les papilles.;6
dessert;Génoise ultra-rapide et pourtant si aérienne...;['4 oeuf  ', '125 g de sucre  ', '125 g de farine  ', '1/2 sachet de levure chimique  ']; Pour réaliser cette recette, il vous faut un robot qui permette d'ajouter des ingrédients au fur et mesure sans devoir tout arrêter et ouvrir un couvercle à chaque fois... Mais c'est la recette idéale pour tous ceux qui sont fâchés avec les interminables montages au bain-marie ! Le secret de la réussite de cette génoise, c'est la rapidité d'exécution. Préparez donc tout ce dont vous aurez besoin avant de vous lancez, beurrez le moule si vous n'avez pas encore opté pour le silicone, pesez les ingrédients... et préchauffez le four à 180°C (th 6).  Mélangez la levure à la farine. Séparez les blancs des jaunes d'oeufs, et montez les blancs en neige avec une pincée de sel. Quand ils sont très fermes, ajoutez le sucre et battez encore. Baissez la vitesse du robot et ajoutez d'un coup les 4 jaunes, puis tout de suite la farine et la levure en pluie. Arrêtez très rapidement le robot pour que la préparation n'ait pas le temps de retomber, versez dans le moule, lissez la surface et enfournez immédiatement pour 20 min. Démoulez tiède et attendez que le gâteau soit refroidi pour le trancher dans l'épaisseur et le garnir.;9
dessert;Brownies aux noix;['200 g de chocolat  ', '125 g de beurre  ', '200 g de sucre en poudre  ', '2 cuillère à soupe de farine  ', '1 cuillère à soupe de sucre glace  ', '1 grosse poignée de cerneau de noix  ', '4 oeuf frais ']; Mettre le chocolat et le beurre en petits morceaux dans une casserole. Faire fondre au bain-marie tout en remuant. Retirer la casserole du feu, ajouter le sucre et mélanger. Allumer le four à 180°C (thermostat 6). Verser un oeuf entier dans la casserole et le mélanger aussitôt. Incorporer de la même façon les autres oeufs. Ajouter les 2 cuillères à soupe de farine tout en mélangeant. Casser les cerneaux de noix en 2 ou 3. Les mélanger à la pâte. Etaler la noix de beurre dans un moule rectangulaire. Verser la pâte dedans. Mettre le moule au four et laisser cuire 20 mn. Une fois cuit, sortir le gâteau du four et le laisser refroidir. Le démouler ensuite sur un plat. Couper le gâteau en 6 ou 8 carrés et saupoudrer de sucre glace.Vous pouvez aussi remplacer les cerneaux de noix, par des noix de Pécan.;9
dessert;Muffins très simples;"['280 g de farine  ', '2 oeuf  ', '100 g de sucre  ', '150 ml de lait  ', ""80 g de beurre (ou 8 cuillères à soupe d'huile) "", '1 sachet de levure chimique  ', '1 sachet de sucre vanillé  ', '1 pincée de sel  ', 'Cannelle  ', 'Extrait de vanille  ', 'Eau de vie, etc..) ']"; Dans un premier saladier : mélanger la farine, le sucre, le sel, le sucre vanillé et la levure. Dans un deuxième saladier : mélanger le lait, l'huile(ou beurre fondu) et les oeufs. Verser le contenu du second saladier dans le premier et remuer jusqu'à obtenir une pâte plutôt lisse. Laissez tout de même quelques petits grumeaux. Mettre au four 15 min à 180°C (thermostat 6);4
dessert;Brioche;"['350 g de farine  ', '175 g de beurre  ', '1 cuillère à café de sel  ', '1 cube de levure de boulanger fraîche  ', ""2 cuillère à soupe d'eau fraîche "", '4 oeuf entiers ', '50 g de sucre en poudre  ']"; A préparer la veille au soir. Mélanger la farine,le sel, le sucre, les oeufs entiers, le beurre fondu, la levure délayée dans l'eau fraîche. Bien travailler la pâte en la battant (si elle colle rajouter un peu de farine). Elle doit rester souple. Placer le récipient couvert et bien fermé dans le réfrigérateur. Le lendemain matin, fariner le plan de travail, travailler la pâte en boule, puis l'étaler avec un rouleau à pâtisserie pour former un carré, la plier en quatre et l'étaler à nouveau. Rouler ensuite en boudin et couper en 8 morceaux.Les mettre dans un grand moule à cheminée beurré et fariné. Laisser lever dans un endroit tiède environ une heure. Lorsque la pâte remplit le moule, enfourner à four chaud (faites préchauffer le four une dizaine de minutes avant), soit 250°C (thermostat 8). Sortez la brioche une fois qu'elle est bien dorée.;4
dessert;'The' tarte aux fraises;"['250 g de farine  ', '125 g de beurre  ', '70 g de sucre  ', ""2 jaune d'oeuf  "", ""5 cl d'eau  "", '1 pincée de sel  ', '25 cl de lait  ', '1 oeuf  ', '30 g de farine  ', '40 g de sucre  ', '1 sachet de sucre vanillé  ', '500 g de fraise (ou plus ;) ']";" PÂTE: Blanchir les jaunes et le sucre au fouet et détendre le mélange avec un peu d'eau. Mélanger au doigt la farine et le beurre coupé en petites parcelles pour obtenir une consistance sableuse et que tout le beurre soit absorbé (!!! Il faut faire vite pour que le mélange ne ramollisse pas trop!). Verser au milieu de ce ""sable"" le mélange liquide. Incorporer au couteau les éléments rapidement sans leur donner de corps. Former une boule avec les paumes et fraiser 1 ou 2 fois pour rendre la boule + homogène.  Foncer un moule de 25 cm de diamètre avec la pâte, garnissez la de papier sulfurisé et de haricots secs. Faire cuire à blanc 20 à 25 min, à 180°C (thermostat 6). CRÈME PÂTISSIÈRE : Mettre le lait à  bouillir avec le parfum choisi (vanille ou autre). Travailler l'oeuf avec le sucre jusqu'à ce que la pâte fasse le ruban, ajouter la farine.  Verser le lait bouillant sur le mélange en tournant bien.  Remettre dans la casserole sur le feu. Faire cuire en tournant très soigneusement. Retirer après ébullition. Verser la crème sur le fond de tarte et disposer joliment les fraises coupées en 2.";10
dessert;Cake nature rapide et facile;"['200 g de sucre  ', '225 g de farine  ', ""10 cl d'huile  "", '4 oeuf  ', '1 sachet de levure  ', ""1 sachet de sucre vanillé ou une cuillère à soupe de fleur d'oranger ""]"; Préchauffez le four à 180°C (thermostat 6). Mélangez les oeufs, le sucre et l'huile puis ajoutez la farine, la levure et le sucre vanillé. Battez bien le tout.  Faites-le cuire dans un four chauffé à 180°C (thermostat 6) pendant 35 minutes environ.;3
dessert;Tiramisu aux speculoos;"['250 g de mascarpone  ', '80 g de sucre roux  ', '1 sachet de sucre vanillé  ', '3 oeuf  ', '300 g de spéculoos  ', '2 tasse de café noir assez fort ', ""1 cuillère à soupe d'amaretto  "", '30 g de cacao en poudre non sucré ']";" Faire un ruban avec les jaunes d'oeufs, le sucre et le sucre vanillé. Y ajouter le mascarpone. Battre les blancs en neige, les incorporer délicatement au mélange. Ajouter l'amaretto au café noir. Monter le gâteau: tremper, au fur et à mesure, les speculoos dans le café (attention à ne pas les ""détremper""). Dans un plat, mettre une couche de biscuits, ensuite une couche de crème au mascarpone. Ensuite une autre couche de biscuits, et terminer par une couche de crème. Saupoudrer de cacao, couvrir d'un film plastique et mettre au réfrigérateur quelques heures.";7
